course_crn,full_name,short_name,prerequisites
28048,Chemical and Biological Engineering Seminar,CHME-6900,[]
26762,Readings in Chemical Engineering,CHME-6940,[]
29728,Topics in Chemical Engineering,CHME-6960,[]
30438,,CHME-6961,
29342,,CHME-6963,
29343,,CHME-6964,
30291,,CHME-6965,
29310,,CHME-6966,
29373,,CHME-6967,
29374,,CHME-6968,
26684,Professional Project,CHME-6970,[]
27476,,CHME-6980,
26963,Master's Thesis,CHME-6990,[]
26839,Dissertation,CHME-9990,[]
27891,Engineering Graphics for Civil Engineers,CIVL-1200,[]
30444,,CIVL-2050,
26764,Readings in Civil Engineering,CIVL-2940,[]
25606,Foundation Engineering,CIVL-4010,['CIVL-2630']
27843,Bedford Seminar,CIVL-4020,[]
25613,Steel Design,CIVL-4070,['CIVL-2670']
28534,Geoenvironmental Engineering,CIVL-4140,[]
25607,Introduction to Finite Elements,CIVL-4240,"['ENGR-2250', 'ENGR-2530', 'ECSE-4160']"
29508,Traffic Engineering,CIVL-4660,['CIVL-2030']
28906,,CIVL-4961,
30400,,CIVL-4963,
27267,Mechanics of Solids,CIVL-6170,[]
30124,Transportation Economics,CIVL-6230,['CIVL-2030']
29158,Intelligent Transportation Systems,CIVL-6240,['CIVL-2030']
27544,Advanced Concrete Structures,CIVL-6310,['CIVL-4080']
27844,Bedford Design Studio,CIVL-6340,"['CIVL-4020', 'CIVL-6310', 'CIVL-6320']"
30125,Timber Design,CIVL-6360,"['CIVL-4070', 'CIVL-4080']"
30131,Wind Engineering,CIVL-6390,['ENVE-4310']
25915,Structural Dynamics,CIVL-6450,['CIVL-4440']
29505,Advanced Geotechnical Engineering,CIVL-6510,['CIVL-4150']
28535,Advanced Geoenvironmental Engineering,CIVL-6550,[]
25614,Fundamentals of Finite Elements,CIVL-6660,[]
27916,Colloquium Series,CIVL-6910,[]
26766,Readings in Civil Engineering,CIVL-6940,[]
30399,,CIVL-6961,
25707,Master's Project,CIVL-6980,[]
27447,Master's Thesis,CIVL-6990,[]
25725,Dissertation,CIVL-9990,[]
29752,Introduction to Cognitive Science,COGS-2120,[]
29750,Introduction to Linguistics,COGS-2340,[]
30427,Introduction to Cognitive Neuroscience,COGS-4330,"['PSYC-1200', 'COGS-2120']"
28013,Programming for Cognitive Science and Artificial Intelligence,COGS-4410,['CSCI-2300']
29290,Game AI,COGS-4420,['CSCI-2300']
30231,Learning and Advanced Game AI,COGS-4430,['COGS-4420']
29454,Sensibilities,COGS-4440,"['IHSS-1150', 'IHSS-1140', 'PSYC-1200']"
29279,Cross-linguistic Perspectives,COGS-4560,['COGS-2340']
30401,Topics in Cognitive Science,COGS-4960,[]
30235,,COGS-4961,
30280,,COGS-4962,
27904,Undergraduate Thesis,COGS-4990,[]
28014,Programming for Cognitive Science and Artificial Intelligence,COGS-6410,[]
30232,Learning and Advanced Game AI,COGS-6430,[]
29280,Cross-linguistic Perspectives,COGS-6560,[]
30236,,COGS-6961,
30237,,COGS-6962,
30238,,COGS-6963,
30284,,COGS-6964,
27704,,COGS-6968,
28087,Master's Project,COGS-6980,[]
27717,Master’s Thesis,COGS-6990,[]
27721,Doctoral Thesis,COGS-9990,[]
28886,,COMM-1960,
29517,Perspectives on Photography,COMM-2410,[]
30408,Documentary Film,COMM-2440,[]
29456,Communication Theory and Practice,COMM-2520,[]
28923,Introduction to Graphic Design,COMM-2660,[]
26767,Communication Studies,COMM-2940,[]
29587,Topics in Communication,COMM-2960,[]
28019,Writing for Games II,COMM-4250,['COMM-4240']
30162,Creative Seminar I,COMM-4340,[]
28943,Foundations of HCI Usability,COMM-4420,[]
30163,Visual Design: Theory and Application,COMM-4460,[]
30285,Advertising and Culture,COMM-4580,[]
26768,Communication Studies,COMM-4940,[]
30278,Topics in Communication,COMM-4960,[]
28944,Foundations of Human-Computer Interaction Usability,COMM-6420,[]
30165,Visual Design: Theory and Application,COMM-6560,[]
26769,Communication Studies,COMM-6940,[]
30279,Topics in Communication,COMM-6960,[]
27028,Dissertation,COMM-9990,[]
25564,Computer Science I,CSCI-1100,[]
25569,Data Structures,CSCI-1200,['CSCI-1100']
27879,Foundations of Computer Science,CSCI-2200,"['CSCI-1200', 'MATH-1010', 'MATH-1500', 'MATH-1020']"
25572,Introduction to Algorithms,CSCI-2300,"['CSCI-1200', 'MATH-1010', 'CSCI-2200']"
25574,Computer Organization,CSCI-2500,['CSCI-1200']
28097,,CSCI-2960,
30242,,CSCI-2961,
26871,Machine Learning from Data,CSCI-4100,['CSCI-2300']
29179,Network Programming,CSCI-4220,"['CSCI-2300', 'CSCI-2500']"
28568,Frontiers of Network Science,CSCI-4250,['CSCI-2300']
29652,Networking in the Linux Kernel,CSCI-4310,"['CSCI-4210', 'ECSE-2660']"
29249,Ontologies,CSCI-4340,['CSCI-2300']
28050,Data Science,CSCI-4350,"['CSCI-1200', 'CSCI-4380']"
